,Year,UnderFive,FiveToFourteen,FiftyToSixtynine,FifteenToFourtyNine,OverSeventy,AllAges
5180,1990,0.114457053,2.810224708,4.601595407,4.878010228,3.877301962,3.791741998
5181,1991,0.114255131,2.809477613,4.606638182,4.875012952,3.882864774,3.800443688
5182,1992,0.114208004,2.81099493,4.610619548,4.875099052,3.889543161,3.811722495
5183,1993,0.114603367,2.814736794,4.613769978,4.877450125,3.896464791,3.823833104
5184,1994,0.115146203,2.818799613,4.615948125,4.881449853,3.903859538,3.836017006
5185,1995,0.115198081,2.821760515,4.617299353,4.886509262,3.912506741,3.8486641
5186,1996,0.114753583,2.828602335,4.631143807,4.90367111,3.924128399,3.870457769
5187,1997,0.114369064,2.841704544,4.651739147,4.938702386,3.938418818,3.904415029
5188,1998,0.11427943,2.856999365,4.673877772,4.980078596,3.954313703,3.941564666
5189,1999,0.114565007,2.873070688,4.692045847,5.01609727,3.969743819,3.974779265
5190,2000,0.115113562,2.889805724,4.701186248,5.034988311,3.982833871,3.999503027
5191,2001,0.115580289,2.906053997,4.70928125,5.039651508,3.995337359,4.019927132
5192,2002,0.115954545,2.920729126,4.718742398,5.042888803,4.005340989,4.042126877
5193,2003,0.116365085,2.931824778,4.72673051,5.044507187,4.015620504,4.062471688
5194,2004,0.116715463,2.937725,4.732400805,5.044318928,4.024804866,4.078584941
5195,2005,0.116996322,2.93847517,4.735105848,5.041971407,4.031243924,4.090046054
5196,2006,0.117213997,2.932270294,4.721164062,5.024787613,4.029058868,4.088709667
5197,2007,0.117560844,2.918767389,4.692540675,4.988786701,4.015006034,4.072990656
5198,2008,0.118181323,2.90335175,4.658192196,4.946544935,3.997645261,4.05192822
5199,2009,0.11875579,2.888458742,4.628628081,4.910491374,3.98058912,4.033888447
5200,2010,0.119064801,2.873959491,4.614497818,4.892999746,3.967584255,4.027068645
5201,2011,0.119248996,2.859313172,4.60864716,4.888948888,3.961349806,4.028308843
5202,2012,0.119364389,2.847049679,4.603867663,4.885206804,3.952965423,4.029316944
5203,2013,0.119385459,2.839449373,4.59958495,4.882106897,3.942994926,4.029421932
5204,2014,0.119754096,2.837850729,4.595769852,4.87998202,3.931871105,4.029426731
5205,2015,0.120817721,2.842476704,4.592588823,4.879007873,3.92019565,4.031805144
5206,2016,0.121890733,2.851594881,4.589038148,4.879543895,3.915991272,4.037270587
5207,2017,0.122478104,2.861669298,4.586420808,4.881975187,3.913815632,4.045541496
